,SubID,TrialType,RT,ACC
407,8,incongruent,490,1
408,10,incongruent,826,1
409,10,congruent,526,1
410,10,congruent,460,1
411,10,incongruent,546,1
412,10,congruent,457,1
413,10,congruent,399,1
414,10,incongruent,504,1
415,10,incongruent,479,1
416,10,incongruent,459,1
417,10,congruent,393,1
418,10,incongruent,490,1
419,10,congruent,374,1
420,10,incongruent,449,1
421,10,congruent,421,1
422,10,congruent,355,1
423,10,incongruent,484,1
424,10,congruent,440,1
425,10,incongruent,1041,1
426,10,incongruent,527,1
427,10,congruent,419,1
428,10,congruent,401,1
429,10,incongruent,554,1
430,10,congruent,419,1
431,10,incongruent,641,1
432,10,incongruent,446,1
433,10,congruent,425,1
434,10,incongruent,527,1
435,10,congruent,459,1
436,10,incongruent,513,1
437,10,incongruent,499,1
438,10,congruent,505,1
439,10,congruent,496,1
440,10,congruent,454,1
441,10,congruent,402,1
442,10,incongruent,1118,1
443,10,incongruent,457,1
444,10,congruent,408,1
445,10,incongruent,435,1
446,10,congruent,412,1
447,10,incongruent,464,1
448,10,incongruent,910,1
449,10,incongruent,505,1
450,10,congruent,463,1
451,10,congruent,358,1
452,10,incongruent,551,1
453,10,congruent,464,1
454,10,incongruent,470,1
455,10,congruent,432,1
456,10,incongruent,577,1
457,10,congruent,487,1
458,10,incongruent,515,1
459,10,congruent,981,1
460,10,congruent,476,1
461,10,congruent,597,1
462,10,incongruent,527,1
463,10,incongruent,539,1
464,10,congruent,410,1
465,10,incongruent,509,1
466,10,incongruent,534,1
467,10,congruent,365,1
468,10,incongruent,552,1
469,10,congruent,442,1
470,10,congruent,430,1
471,10,incongruent,503,1
472,10,incongruent,520,1
473,10,incongruent,481,1
474,10,congruent,434,1
475,10,congruent,459,1
476,10,incongruent,1058,1
477,10,congruent,483,1
478,10,congruent,390,1
479,10,incongruent,463,1
480,10,congruent,390,1
481,10,incongruent,454,1
482,10,congruent,426,1
483,10,incongruent,480,1
484,10,incongruent,538,1
485,10,incongruent,760,1
486,10,congruent,450,1
487,10,congruent,453,1
488,10,incongruent,489,1
489,10,congruent,461,1
490,10,congruent,523,1
491,10,incongruent,559,1
492,10,incongruent,529,1
493,10,congruent,541,1
494,10,incongruent,531,1
495,10,congruent,479,1
496,10,incongruent,593,1
497,10,congruent,442,1
498,10,incongruent,542,1
499,10,congruent,389,1
500,10,incongruent,557,1
501,10,incongruent,714,1
502,10,congruent,436,1
503,10,congruent,397,1
504,10,incongruent,541,1
505,10,incongruent,508,1
506,10,congruent,419,1
507,10,congruent,449,1
508,10,congruent,421,1
509,10,incongruent,563,1
510,11,incongruent,561,1
511,11,congruent,405,1
512,11,incongruent,465,1
513,11,congruent,378,1
514,11,congruent,368,1
515,11,incongruent,518,1
516,11,congruent,447,1
517,11,incongruent,539,1
518,11,incongruent,482,1
519,11,congruent,413,1
520,11,incongruent,486,1
521,11,congruent,418,1
522,11,incongruent,473,1
523,11,congruent,516,1
524,11,congruent,565,1
525,11,incongruent,553,1
526,11,incongruent,482,1
527,11,congruent,655,1
528,11,congruent,566,1
529,11,incongruent,1018,1
530,11,incongruent,538,1
531,11,congruent,431,1
532,11,congruent,448,1
533,11,incongruent,500,1
534,11,congruent,421,1
535,11,incongruent,454,1
536,11,incongruent,532,1
537,11,congruent,376,1
538,11,incongruent,478,1
539,11,incongruent,463,1
540,11,congruent,385,1
541,11,congruent,409,1
542,11,incongruent,472,1
543,11,congruent,441,1
544,11,congruent,573,1
545,11,incongruent,444,1
546,11,congruent,391,1
547,11,incongruent,495,1
548,11,congruent,390,1
549,11,incongruent,472,1
550,11,congruent,496,1
551,11,incongruent,510,1
552,11,incongruent,488,1
553,11,congruent,395,1
554,11,incongruent,468,1
555,11,congruent,411,1
556,11,congruent,518,1
557,11,incongruent,519,1
558,11,congruent,419,1
559,11,incongruent,482,1
560,11,incongruent,494,1
561,11,congruent,482,1
562,11,congruent,438,1
563,11,incongruent,489,1
564,11,congruent,469,1
565,11,incongruent,502,1
566,11,congruent,501,1
567,11,incongruent,1043,1
568,11,incongruent,529,1
569,11,congruent,461,1
570,11,congruent,428,1
571,11,incongruent,594,1
572,11,incongruent,510,1
573,11,congruent,407,1
574,11,congruent,477,1
575,11,congruent,446,1
576,11,incongruent,474,1
577,11,incongruent,491,1
578,11,incongruent,820,1
579,11,congruent,452,1
580,11,incongruent,554,1
581,11,congruent,492,1
582,11,incongruent,528,1
583,11,congruent,460,1
584,11,incongruent,514,1
585,11,congruent,499,1
586,11,incongruent,490,1
587,11,congruent,390,1
588,11,incongruent,511,1
589,11,congruent,424,1
590,11,congruent,830,1
591,11,incongruent,489,1
592,11,incongruent,516,1
593,11,congruent,558,1
594,11,incongruent,527,1
595,11,congruent,606,1
596,11,congruent,426,1
597,11,incongruent,561,1
598,11,congruent,425,1
599,11,congruent,399,1
600,11,incongruent,472,1
601,11,incongruent,452,1
602,11,incongruent,464,1
603,11,congruent,502,1
604,11,congruent,485,1
605,11,incongruent,481,1
606,11,incongruent,498,1
607,11,incongruent,496,1
608,11,congruent,439,1
609,11,congruent,384,1
610,11,congruent,462,1
611,11,congruent,388,1
612,14,congruent,796,1
613,14,incongruent,905,1
614,14,incongruent,548,1
615,14,congruent,389,1
616,14,congruent,398,1
617,14,incongruent,561,1
618,14,incongruent,797,1
619,14,congruent,400,1
620,14,incongruent,688,1
621,14,congruent,525,1
622,14,incongruent,649,1
623,14,congruent,485,1
624,14,incongruent,641,1
625,14,incongruent,771,0
626,14,congruent,544,1
627,14,congruent,670,1
628,14,incongruent,776,1
629,14,incongruent,952,1
630,14,congruent,499,1
631,14,congruent,457,1
632,14,congruent,608,1
633,14,incongruent,540,1
634,14,incongruent,499,1
635,14,congruent,400,1
636,14,congruent,418,1
637,14,incongruent,568,1
638,14,congruent,532,1
639,14,incongruent,631,1
640,14,congruent,474,1
641,14,congruent,546,1
642,14,incongruent,737,1
643,14,incongruent,552,1
644,14,congruent,482,1
645,14,incongruent,551,1
646,14,incongruent,1055,1
647,14,congruent,432,1
648,14,incongruent,425,1
649,14,incongruent,599,1
650,14,congruent,385,1
651,14,congruent,471,1
652,14,incongruent,536,1
653,14,incongruent,478,1
654,14,congruent,456,1
655,14,congruent,510,1
656,14,congruent,495,1
657,14,congruent,334,1
658,14,incongruent,553,1
659,14,incongruent,482,1
660,14,incongruent,662,1
661,14,incongruent,576,1
662,14,congruent,391,1
663,14,congruent,912,1
664,14,incongruent,587,1
665,14,congruent,420,1
666,14,congruent,474,1
667,14,incongruent,612,1
668,14,incongruent,624,1
669,14,congruent,407,1
670,14,congruent,562,1
671,14,incongruent,854,1
672,14,congruent,438,1
673,14,congruent,567,1
674,14,incongruent,907,1
675,14,incongruent,502,1
676,14,congruent,509,1
677,14,incongruent,590,1
678,14,incongruent,487,1
679,14,congruent,379,1
680,14,incongruent,914,1
681,14,incongruent,684,1
682,14,congruent,401,1
